lakecode,lakename,Latitude_dd,loglat,Longitude_dd,Longitude_standard,loglong,Elevation_m,logelev,SurfaceArea_km2,logSA,MeanDepth_m,logMD,airtemp_trend,precip_trend,ID slope,ID slope p,obs,ID_var
WRS270,KLUANE LAKE,61.31808889,1.787588611,-138.7837772,1,0,768,2.88536122,397.6,2.599446376,102.1,2.009025742,0.015746753,-0.429490417,-0.614583333,0.483012275,17,252.0073529
WRS271,KNOB LAKE,54.8,1.738780558,-66.81666667,72.96711053,1.863127149,508,2.705863712,2,0.301029996,5,0.698970004,0.032656249,-0.065926667,0.055555556,0.772147408,31,116.2473118
WRS275,LAC BLOUIN,48.17561471,1.682827265,-77.74608617,62.03769103,1.792655626,291,2.463892989,13.76,1.138618434,8.1,0.908485019,-0.026829975,-0.474117407,-0.140394089,0.406978448,32,90.88709677
WRS276,LAC CACHE,49.76666667,1.696938553,-74.53333333,65.25044387,1.81458347,379,2.57863921,3,0.477121255,8,0.903089987,0.034999999,0.0097225,-1.6,0.009791512,18,210.2647059
WRS279,LAC DES SABLES,46.04286361,1.663162326,-74.30211621,65.48166099,1.816119687,375,2.574031268,2.85,0.45484486,9.8,0.991226076,-0.026057504,-1.773150275,-1.151515152,0.001884177,25,199.2733333
WRS280,LAC LA BICHE,54.86460788,1.73929228,-112.0763355,27.7074417,1.442596428,537,2.729974286,238.98,2.378361557,19.6,1.292256071,-0.016666666,0.32454087,-0.434782609,0.096558011,30,97.9816092
WRS281,LAC LA CHESNAYE,49.3249795,1.693066913,-68.18653412,71.59724308,1.8548963,62,1.792391689,5.51,0.741151599,24.1,1.382017043,0.048148147,-0.518444,-1,0.408961342,14,144.6868132
WRS282,LAC LA RONGE,55.11384124,1.741260681,-104.9716447,34.8121325,1.541730628,360,2.556302501,1296.47,3.112762472,12.7,1.103803721,-0.001388889,-0.246752308,0.5,0.203001931,27,200.5413105
WRS285,LAC ST JEAN,48.64487237,1.687037068,-72.06260198,67.72117522,1.830724486,96,1.982271233,1112.79,3.046413214,11,1.041392685,0.020763888,0.046374211,-0.428571429,0.203426915,23,89.81422925
WRS286,LAKE ADJACENT TO STATION,55.33393916,1.742991588,-63.22034568,76.56343152,1.88402139,470,2.672097858,1.15,0.06069784,2.9,0.462397998,0.043072916,0.917592708,1,0.461591561,13,149.0641026
WRS291,LAKE EON,51.8593689,1.714827227,-63.29271332,76.49106388,1.883610701,557,2.745855195,3.56,0.551449998,7.3,0.86332286,0.029948717,0.122820769,0.721153846,0.118809417,20,140.5763158
WRS294,LAKE KATHLYN,54.82393123,1.738970174,-127.2051839,12.5785933,1.099632075,498,2.697229343,1.31,0.117271296,4.5,0.653212514,0.017555555,0.125714286,-1.090909091,0.102625215,18,251.6633987
WRS295,LAKE KENOGAMI,48.35226215,1.684416797,-71.27220194,68.51157526,1.835763953,158,2.198657087,58.1,1.764176132,6.4,0.806179974,-0.033858024,0.11875,-0.346153846,0.105760971,31,140.0473118
WRS300,LAKE MEGANTIC,45.51477699,1.658152419,-70.87758614,68.90619106,1.838258244,392,2.593286067,28.67,1.457427693,14.3,1.155336037,-0.011819444,-0.888848571,0.225,0.901483047,17,275.2647059
WRS301,LAKE MINNEWANKA,51.25635347,1.709747706,-115.4603036,24.3234736,1.386025596,1469,3.167021796,21.87,1.339848783,83.6,1.922206277,-0.000731707,0.113368125,-0.041666667,0.834795635,46,320.1415459
WRS303,LAKE OF THE WOODS,49.30013028,1.692848067,-94.77504334,45.00873386,1.653296796,320,2.505149978,3472.81,3.540681023,10.7,1.029383778,-0.007615741,-0.080058365,-0.577777778,0.298404819,20,151.7473684
WRS308,LAKE ST CLAIR,42.49333207,1.628320787,-82.70342626,57.08035094,1.756486635,173,2.238046103,1161.17,3.064895807,2.9,0.462397998,0.007482954,0.041978077,0.34057971,0.338171092,29,424.679803
WRS310,LAKE UTOPIA,45.17450314,1.654893385,-66.78991053,72.99386667,1.86328637,17,1.230448921,13.99,1.145817714,12.5,1.096910013,-0.004410897,-0.219771429,-0.878676471,0.005209846,32,242.0554435
WRS311,LAKE WINNIPEG,52.04460987,1.716375757,-97.15389632,42.62988088,1.629714119,215,2.33243846,23923.04,4.378816366,11.9,1.075546961,0.010833333,-0.076222,0,0.917154235,34,94.46791444
WRS312,LAKE WINNIPEGOSIS,52.37561403,1.719129127,-99.9392933,39.8444839,1.600368206,251,2.399673721,5035.51,3.702043463,3.2,0.505149978,0.020208333,0.617775,0.5,0.474274351,10,78.22222222
WRS315,LESSER SLAVE LAKE,55.41564546,1.743632396,-115.7251909,24.0585863,1.381270104,572,2.757396029,1186.51,3.074271403,11.4,1.056904851,0.011145833,-0.007222222,-0.333333333,0.107845282,35,134.3277311
WRS322,LONG LAKE,62.46666667,1.795648332,-114.45,25.3337772,1.403699947,196,2.292256071,1,0,2,0.301029996,0.009791667,0.382121364,-0.176470588,0.231167941,40,107.2403361
WRS324,LYNN LAKE,56.86666667,1.754857772,-101.0833333,38.7004439,1.587715946,335,2.525044807,0.54,-0.26760624,3,0.477121255,0.051083332,0.019061889,0.357142857,0.786421625,16,108.5291667
WRS332,MCLAUGHLIN ROAD RESERVOIR,46.14863046,1.664158817,-64.81501866,74.96875854,1.874880319,47,1.672097858,0.66,-0.180456064,3.4,0.531478917,0.017958333,-0.061120823,0.055555556,0.78495666,36,220.9142857
