lake,year_ice_off,value,metric
LAKE PAIJANNE (1463),1957,0.661971657,ID
LAKE PAIJANNE (1463),1958,-0.177136132,ID
LAKE PAIJANNE (1463),1959,-0.366612084,ID
LAKE PAIJANNE (1463),1960,0.066475807,ID
LAKE PAIJANNE (1463),1961,0.526631691,ID
LAKE PAIJANNE (1463),1962,-0.339544091,ID
LAKE PAIJANNE (1463),1963,-0.123000145,ID
LAKE PAIJANNE (1463),1964,0.17474778,ID
LAKE PAIJANNE (1463),1965,0.039407814,ID
LAKE PAIJANNE (1463),1966,0.60783567,ID
LAKE PAIJANNE (1463),1967,-0.393680077,ID
LAKE PAIJANNE (1463),1968,-0.339544091,ID
LAKE PAIJANNE (1463),1969,0.01233982,ID
LAKE PAIJANNE (1463),1970,0.228883766,ID
LAKE PAIJANNE (1463),1971,0.201815773,ID
LAKE PAIJANNE (1463),1972,0.661971657,ID
LAKE PAIJANNE (1463),1973,-0.691428002,ID
LAKE PAIJANNE (1463),1974,0.661971657,ID
LAKE PAIJANNE (1463),1975,-0.772631982,ID
LAKE PAIJANNE (1463),1976,-0.068864159,ID
LAKE PAIJANNE (1463),1977,-0.258340111,ID
LAKE PAIJANNE (1463),1978,-0.258340111,ID
LAKE PAIJANNE (1463),1979,0.201815773,ID
LAKE PAIJANNE (1463),1980,-0.204204125,ID
LAKE PAIJANNE (1463),1981,0.634903664,ID
LAKE PAIJANNE (1463),1982,-0.204204125,ID
LAKE PAIJANNE (1463),1983,-1.232787866,ID
LAKE PAIJANNE (1463),1984,0.17474778,ID
LAKE PAIJANNE (1463),1985,-0.258340111,ID
LAKE PAIJANNE (1463),1986,0.310087745,ID
LAKE PAIJANNE (1463),1987,-0.150068139,ID
LAKE PAIJANNE (1463),1988,0.039407814,ID
LAKE PAIJANNE (1463),1989,0.0935438,ID
LAKE PAIJANNE (1463),1990,-0.664360009,ID
LAKE PAIJANNE (1463),1991,0.310087745,ID
LAKE PAIJANNE (1463),1992,-0.853835961,ID
LAKE PAIJANNE (1463),1993,-0.42074807,ID
LAKE PAIJANNE (1463),1994,0.580767677,ID
LAKE PAIJANNE (1463),1995,-0.312476098,ID
LAKE PAIJANNE (1463),1996,0.391291725,ID
LAKE PAIJANNE (1463),1997,-0.393680077,ID
